step,epoch,loss,grad_norm,learning_rate,rewards/chosen,rewards/rejected,rewards/accuracies,rewards/margins,logps/chosen,logps/rejected,logits/chosen,logits/rejected
10,0.04,0.7074,5.86484432220459,4.93e-05,0.06640016287565231,0.08831273019313812,0.32499998807907104,-0.02191256731748581,-65.37692260742188,-65.03480529785156,-1.1145508289337158,-0.9466812014579773
20,0.08,0.6599,4.087711334228516,4.83e-05,0.25190889835357666,0.1651330590248108,0.550000011920929,0.08677581697702408,-60.94269943237305,-65.0638656616211,-1.2503483295440674,-1.0043798685073853
30,0.12,0.6372,,4.73e-05,0.28077399730682373,0.09542465209960938,0.675000011920929,0.18534934520721436,-63.50449752807617,-64.7828369140625,-1.3142751455307007,-1.0690290927886963
40,0.16,0.6532,5.470401763916016,4.64e-05,0.3261632025241852,0.1645767241716385,0.574999988079071,0.16158650815486908,-61.58489990234375,-64.99628448486328,-1.4119820594787598,-1.2891499996185303
50,0.2,0.4783,5.158630847930908,4.5400000000000006e-05,0.3975726366043091,-0.3026050925254822,0.800000011920929,0.700177788734436,-63.06439971923828,-71.45679473876953,-1.5300157070159912,-1.2876346111297607
60,0.24,0.6055,8.028457641601562,4.44e-05,0.4168330132961273,0.04745940491557121,0.6000000238418579,0.3693735897541046,-62.64887237548828,-64.62188720703125,-1.821057915687561,-1.6257102489471436
70,0.28,0.516,6.384461402893066,4.3400000000000005e-05,0.4708346724510193,-0.15327560901641846,0.675000011920929,0.6241103410720825,-60.32109832763672,-65.25894165039062,-2.380596160888672,-1.9544665813446045
80,0.32,0.513,5.494524955749512,4.24e-05,0.40155330300331116,-0.30609211325645447,0.800000011920929,0.7076454162597656,-62.21503829956055,-65.61700439453125,-2.3206403255462646,-2.1252357959747314
90,0.36,0.3544,5.105621337890625,4.14e-05,0.7544914484024048,-0.5873703956604004,0.8500000238418579,1.3418619632720947,-56.31779098510742,-71.38274383544922,-2.632491111755371,-2.2248196601867676
100,0.4,0.6841,9.665820121765137,4.05e-05,-0.27974382042884827,-1.3548206090927124,0.75,1.0750770568847656,-68.97116088867188,-76.33018493652344,-2.9430508613586426,-2.668349027633667
110,0.44,0.5883,9.797061920166016,3.9500000000000005e-05,0.031162982806563377,-1.003502607345581,0.75,1.0346653461456299,-65.40971374511719,-76.8401870727539,-3.3926918506622314,-3.036729335784912
120,0.48,0.4687,4.360942363739014,3.86e-05,0.046834371984004974,-1.4358007907867432,0.7250000238418579,1.4826350212097168,-65.91047668457031,-81.92286682128906,-3.2321383953094482,-2.889826536178589
130,0.52,0.3781,2.158496141433716,3.76e-05,0.4705996513366699,-1.2816674709320068,0.8500000238418579,1.7522672414779663,-62.2192268371582,-75.95590209960938,-3.010880708694458,-2.7513794898986816
